Number,Field,Notes,,,
138,An Offer One Can’t Refuse: An extremely attractive offer,,,,
139,All Talk and No Trousers: Prone to empty boasts,,,,
140,"And All That: Et cetera, and so on.",,,,
141,And Counting: And the number just mentioned is increasing (or decreasing),,,,
142,And Change: And an additional amount of money that’s less than the next round number,,,,
143,"And His Mother: An intensifier for an inclusive noun or phrase such as everyone, everybody",,,,
144,"And So Forth: Indicates that a list continues in a similar manner, etc.",,,,
145,"And So On: Indicates that a list continues in a similar manner, etc.",,,,
146,"And The Like: And other similar items, etc.",,,,
147,And Then Some: And even more than what has just been mentioned,,,,
148,"Another Nail In One’s Coffin: Something that leads to someone’s death, literally or figuratively.",,,,
149,Answer Back: Respond impertinently; to talk back.,,,,
150,Ants In Your Pants: Restlessness,,,,
151,"Any Port in a Storm: If you’re in trouble, you’ll turn to anything that improves the situation.",,,,
152,"Any Tom, Dick or Harry: Any ordinary person",,,,
153,Angel’s Advocate: Someone who takes a positive outlook on an idea or proposal,,,,
154,"Angle For: Aim toward something, try to obtain something, often indirectly or secretly",,,,
155,"Apple of One’s Eye: A favorite person or thing, a person especially valued by someone",,,,
156,Apple of Someone’s Eye: The person that someone loves most of all and is very proud of,,,,
157,"Apples and Oranges: Of two different classes, not comparable",,,,
158,"Apples and Oranges: Of two different classes, not comparable",,,,
159,Arm Candy: An attractive woman accompanying a powerful or famous man at a social event,,,,
160,Armed to the Teeth: Carrying many weapons,,,,
161,"Ancient History: Something, such as a disagreement, that happened long ago and
ought to be forgotten",,,,
162,As American as Apple Pie: Very or typically American,,,,
163,As Far as I Can Throw (someone): Only slightly,,,,
164,As Fit as A Fiddle: To be healthy and physically fit,,,,
165,As Pale as A Ghost: Extremely pale,,,,
166,As Pale as Death: Extremely pale,,,,
167,As Poor as a Church Mouse: Very poor,,,,
168,As Red as A Cherry: Very red,,,,
169,Asleep at the Wheel (Switch): not paying attention to one’s work; not doing one’s job diligently.,,,,
170,At Death’s Door: Very near death,,,,
171,At Each Other’s Throats: Constantly and strongly arguing,,,,
172,At Loggerheads: In a state of persistent disagreement,,,,
173,At Loggerheads: In a state of persistent disagreement.,,,,
174,At Sixes and Sevens: Someone is in a state of confusion or not very well organized.,,,,
175,"At the Drop of a Hat: Spontaneously, suddenly",,,,
176,At the Eleventh Hour: It happens when it is almost too late.,,,,
177,At the End of One’s Rope (Tether): Running out of endurance or patience,,,,
178,At the End of the Day: In the final analysis; when all is said and done,,,,
179,Around the Clock: At all times,,,,
180,"At Wit’s End: Frustrated because all measures to deal with something have failed


List of Common English Idioms – Image 1",,,,
181,Babe Magnet: A man to whom women are attracted,,,,
182,Baby Blues: Blue eyes.,,,,
183,"Baby Boomer: A person born in the years following World War II, when there was a temporary marked increase in the birth rate",,,,
184,"Babysitter Test: An evaluation of the ease of use of household appliances, especially remote control devices",,,,
185,"Back And Forth: Dialogue, negotiations",,,,
186,Back At You: Same to you (used to return a greeting or insult),,,,
187,Back Burner (On The): Not urgent; set aside until later,,,,
188,"Back Forty: Remote, inaccessible land",,,,
189,"Back in the Day: Formerly, when I was younger, in earlier times",,,,
190,Back Of Beyond: A remote location,,,,
191,Back Office: Support services for a business,,,,
192,Back on One’s Feet: Physically healthy again,,,,
193,Back to Square One: Back to the start,,,,
194,Back to Square One: Forced to begin something again,,,,
195,Back to the Drawing Board: Forced to begin something again,,,,
196,Back to the Salt Mine(s): We have to go back to work.,,,,
197,Back to the Salt Mines: It’s time for me (us) to go back to work,,,,
198,Back the Wrong Horse: To support the losing side,,,,
199,Backing and Filling: Delaying a decision by making small changes or arguing about small details,,,,
200,Backseat Driver: A passenger in a car who gives unwanted advice to the driver is called a backseat driver.,,,,
201,"Backseat Driver: Someone who likes to give (often annoying) advice to the driver of a car, or the leader of some other enterprise",,,,
202,"Bad Apple: A discontented, trouble making, or dishonest person",,,,
203,"Babe In The Woods: An innocent, naive person",,,,
204,Bad Egg: Someone who is not to be trusted,,,,
205,"Bad Taste In One’s Mouth: Unease, a feeling that something unspecified is wrong in a situation",,,,
206,Bag of Tricks: A set of methods or resources,,,,
207,"Bail Out: To rescue someone from a bad situation, to shield someone from the consequences of his or her actions",,,,
208,Ball and Chain: 1. One’s spouse (derogatory but often affectionate); 2. an ongoing burden,,,,
209,Ballpark Figure: A rough estimate,,,,
210,Banner Year: A year marked by strong successes,,,,
211,Bang for Your Buck: Value for money,,,,
212,Bang for Your Buck: Value for your money,,,,
213,Bang One’s Head Against the Wall (Against a Brick Wall):Try repeatedly to do something without making progress,,,,
214,Baptism by Fire: A difficult task given right after one has assumed new responsibilities,,,,
215,Bar Fly (or Barfly): Someone who spends much of his or her time in bars,,,,
216,Bare One’s Heart (Soul): To confess one’s deepest secrets,,,,
217,Bark Up the Wrong Tree: Pursue a mistaken approach or belief; be wrong in a course of action,,,,
218,Basket Case: So upset or stunned that one is unable to function; in a hopeless condition,,,,
219,Bat/Play for Both Teams: To be bisexual.,,,,
220,Bat/Play for the Other Team: To be homosexual.,,,,
221,Batten Down the Hatches: Prepare for a storm,,,,
222,Batten Down the Hatches: Prepare for a storm,,,,
223,"Be A Barrel of Laughs: To be fun, funny, and pleasant.",,,,
224,Be A Cold Day In Hell: (Something that) will never happen,,,,
225,Be An Item: Two people are an item when they are having a romantic relationship,,,,
226,Bad Blood: Enmity or hatred that stems from something in the past,,,,
227,Be Head Over Heels (In love): Be in love with somebody very much,,,,
228,Be in Seventh Heaven: Extremely happy,,,,
229,"Be in Two Minds (about something): To not be certain about something, or to have difficulty in making a decision",,,,
230,Be Like Chalk and Cheese: Things or people who are very different and have nothing in common,,,,
231,Be Lovey – Dovey: Expressing your love in public by constantly kissing and hugging,,,,
232,Be on the Mend: Be improving after an illness,,,,
233,Be Snowed Under: Be extremely busy with work or things to do,,,,
234,"Bean Counters: Accountants, finance professionals in an organization",,,,
235,"Bean Counters: Accountants, finance professionals in an organization",,,,
236,Beat Around the Bush: To speak in a roundabout way in order to avoid confronting an unpleasant topic,,,,
237,Beat Someone To The Draw: To accomplish or obtain something more quickly than someone else,,,,
238,Beat Someone to the Punch: Do something before or faster than someone else,,,,
239,Beat the Drum for (Something): Speak in favor of something to try to generate support,,,,
240,Beauty Is Only Skin Deep: External appearance is a superficial basis for judging someone,,,,
241,Bed of Roses: A comfortable situation,,,,
242,Bedroom Eyes: An expression of the eyes that seems to invite sex,,,,
243,Bee in One’s Bonnet: Someone who has a bee in their bonnet has an idea which constantly occupies their thoughts.,,,,
244,Beggar Thy Neighbor: To do something beneficial for oneself without worrying about how it affects others,,,,
245,Behind the Eight (or 8) Ball: At a serious disadvantage,,,,
246,Behind the Scenes: In a way not apparent to the public,,,,
247,Behind the Times: Old-fashioned,,,,
248,"Be Footloose and Fancy-Free: To be free of responsibilities, including romantic
commitments",,,,
249,Bells And Whistles: Attractive but unnecessary features of a product,,,,
250,"Belly Laugh: Loud, hearty laughter",,,,
251,Bend an Elbow: Drink alcoholic beverages at a tavern,,,,
252,Best (Greatest) Thing Since Sliced Bread: An innovative development,,,,
253,Best of Both Worlds: Combining two qualities that are usually separate,,,,
254,Bet One’s Bottom Dollar (On Something): Be certain that something will happen,,,,
255,Bet the Farm: Risk everything; spend all one’s money on something in hopes of success,,,,
256,Better late Than Never: It implies that a belated achievement is better than not reaching a goal at all.,,,,
257,Between a Rock and a Hard Place: Caught between two undesirable options,,,,
258,Between the Devil and the Deep Blue Sea: In a difficult position,,,,
259,Beyond the Pale: Too morally or socially extreme to accept,,,,
260,Beyond the Shadow of a Doubt: Absolutely certain,,,,
261,Big Apple: An informal name for New York City,,,,
262,"Big Brother: Government, viewed as an intrusive force in the lives of citizens;
government spying",,,,
263,Big Cheese: An important person in a company or organization,,,,
264,Big Deal: An important event or accomplishment,,,,
265,Big Fish: An important person,,,,
266,Big Picture: A wide perspective; a broad view of something,,,,
267,"Big time: If you do something big time, you do it to a great degree.",,,,
268,"Birds of a Feather: People having similar characters, backgrounds, interests, or beliefs.",,,,
269,Bird’s-Eye View: A view from above; a broad perspective on something,,,,
270,Bite Off More Than You Can Chew: Try to do more than one is capable of doing,,,,
271,"Bite the Bullet: To do something even though it involves pain, discomfort, or difficulty",,,,
272,Bell the Cat: Take on a difficult or impossible task,,,,
273,Bitter Pill to Swallow: An unpleasant fact that one must accept,,,,
274,"Black and White: A clear distinction between good and bad, positive and negative",,,,
275,Black Eye: A mark of shame,,,,
276,"Black Sheep: A person who does not fit into a group, especially a family",,,,
277,"Black-and-Blue: Bruised, showing signs of having been physically harmed",,,,
278,Blank Check: Permission to spend or do whatever one wishes; carte blanche,,,,
279,Blind Date: When two people who have never seen each other before go on a date,,,,
280,Blinded by Love: When a person is so madly in love with somebody that they can’t see the person’s faults or negative characteristics,,,,
281,"Blood and Thunder: A dramatic, spectacular performance",,,,
282,"Blow Away the Cobwebs: If something blows away the cobwebs, it makes you feel more lively and refreshes your ideas.",,,,
283,Blow Hot and Cold: Shift one’s level of enthusiasm repeatedly,,,,
284,Blow Off Steam: To express anger and frustration in a way that does no damage,,,,
285,Blow One’s Top: Lose one’s temper,,,,
286,Blow One’s Stack: To lose one’s temper and explode in anger,,,,
287,"Blow the Cobwebs Away (or Out of Something): Make space for fresh ideas, encourage something new",,,,
288,Blow the Whistle: Reporting an illegal or unacceptable activity to the authorities,,,,
289,Blow Up: Explode,,,,
290,Blow Your Own Trumpet: Brag; emphasize one’s own contributions,,,,
291,Blue Blood (adj. blue-blooded): Person of aristocratic background,,,,
292,Blue Eyed Boy: A person who is a favorite of those in authority; someone whose mistakes are forgiven,,,,
293,Blue Light Special: 1. a temporary sale at a discount store. 2. a traffic stop by the police.,,,,
294,Bob’s Your Uncle: The rest is easy; you’re almost finished,,,,
295,Bite the Hand That Feeds You: Act badly toward someone who has helped you,,,,
296,"Bone Dry: Completely dry, totally without moisture",,,,
297,Born on The Wrong Side of the Blanket: Born to parents who were not married,,,,
298,"Borrow Trouble: Take needless risks, invite problems",,,,
299,Bottom of the Barrel: Low-quality choices,,,,
300,"Boy Toy: A young man who is the lover of an older, often wealthier woman (see toyboy)",,,,
301,Boys will be Boys: A phrase of resignation used when boys get into trouble or are stereotypically reckless or rowdy,,,,
302,Brainstorm: To generate many ideas quickly,,,,
303,"Break a Leg: Good luck! This is used for a stage performer-or for anyone else who is about to give some kind of a performance, such as an important speech",,,,
304,Break Out in A Cold Sweat: To perspire from fever or anxiety,,,,
305,Break the Bank: Exhaust one’s financial resources,,,,
306,"Break The Ice: To get something started, particularly by means of a social introduction or conversation",,,,
307,Break up/ Split up (With Somebody): End the relationship,,,,
308,Bring Home the Bacon: Earn money for one’s family,,,,
309,Bringing a Knife to a Gunfight: Underequipped or unprepared,,,,
310,Brush Under the Carpet: Attempt to temporarily conceal a problem or error,,,,
311,Bucket List: Things you want to see or do before you die,,,,
312,Bull in a China Shop: A clumsy or tactless person,,,,
313,"Bump in the Road: A temporary problem, a small setback",,,,
314,Bundle Up: Put on lots of warm clothing,,,,
315,Burn One’s Bridges: Leave a job or a relationship on such bad terms that one does not stay in contact,,,,
316,"Burn the Candle at Both Ends: To work too hard, with possible bad consequences for one’s health",,,,
317,Burn the Candle at Both Ends: Work very long hours,,,,
318,Bolt From the Blue: Something completely unexpected,,,,
319,Burn the Midnight Oil: Working late into the night,,,,
320,"Bury (Hide) One’s Head In the Sand: Ignoring something that’s obviously wrong, not facing reality",,,,
321,"Bury the Hatchet: Make peace, agree to end a dispute",,,,
322,"Business as Usual: A normal situation (whether related to business or not), typically restored after some change",,,,
323,Busman’s Holiday (UK): A working vacation,,,,
324,"Busman’s Holiday: A vacation where you do the same thing you do at work, a working vacation",,,,
325,"Busted Flush: A failure, someone or something that seemed promising but did not develop well",,,,
326,"Butter Wouldn’t Melt in (Someone’s): Mouth This person is cool in manner, prim and proper",,,,
327,Buy a Pig in a Poke: To buy something with no prior inspection,,,,
328,Buy Time: Cause a delay in something with the aim of improving one’s position,,,,
329,By a Whisker: By a very short distance,,,,
330,"By All Means: Of course, certainly",,,,
331,By Hook or by Crook: By some possibly dishonest means,,,,
332,By the Skin of One’s Teeth: Barely escaping disaster,,,,
333,Burn the Midnight Oil: To work late into the night,,,,
334,By Word of Mouth: Via personal communications rather than written media,,,,
335,Call It a Night: End an evening’s activities and go home,,,,
336,Call the Shots: Make the important decisions in an organization,,,,
337,Call the Tune: Making important decisions and controlling a situation.,,,,
338,Can’t See the Forest for the Trees: Is unable to maintain a wider perspective,,,,
339,Can’t Swing A Dead Cat In (Place): Without Hitting A (Thing) There are many examples of [thing] in this [place].,,,,
340,"Carrot-and-Stick (Approach): A tactic in which rewards are offered, but there is also the threat of punishment",,,,
341,Carry a Torch (for): To continue to be in love with someone even after a relationship has ended,,,,
342,Carry Coals To Newcastle: Supply something that is unneeded; engage in useless labor,,,,
343,Carry the Can: To take the blame for something one did not do,,,,
344,Cash In One’s Chips: 1. To take advantage of a quick profit 2. To die,,,,
345,Cash-Strapped: In need of money,,,,
346,Cast the First Stone: To be the first to criticize or attack someone,,,,
347,Castle in the Air: An impractical plan,,,,
348,Cat Fight: A fight between two women,,,,
349,Cat Got Your Tongue?: Don’t you have anything to say?,,,,
350,Cat on a hot tin roof: Be extremely nervous,,,,
351,Cat-and-Mouse (adj.): In a toying way; playful in an unpleasant way,,,,
352,Catch One’s Death of Cold: To become very ill (with a cold/flu etc.),,,,
353,Catch Some Rays: To sit or lie outside in the sun,,,,
354,Catch Someone’s Eye: Attract someone’s attention,,,,
355,Catch-22: A difficult situation from which there is no escape because options for avoiding it involve contradictions,,,,
356,"Cat’s Paw: A person being used by someone else, a tool",,,,
357,Call It a Day: Decide that one has worked enough on something for the day,,,,
358,"Circle the Wagons: To prepare as a group to defend against attack, adopt a defensive posture",,,,
359,Claim to Fame: Unusual feature or offering,,,,
360,Clean Up Nicely: Look good when one is dressed up. Usually said of women,,,,
361,"Clear the Air: Defuse tension, be honest about conflict so as to reduce it",,,,
362,Clip Someone’s Wings: Reduce someone’s privileges or freedom,,,,
363,"Close, But No Cigar: You are very close but not quite correct.",,,,
364,"Cock and Bull Story: A far-fetched story, probably untrue",,,,
365,"Cock-A-Hoop: Elated, excited",,,,
366,Cold Day in Hell: A condition for something that would be extremely unlikely to occur,,,,
367,"Come By Something Honestly: Acquire something honestly, or inherit it",,,,
368,Come Clean: To confess; to admit to wrongdoing,,,,
369,Come Hell or High Water: No matter what happens,,,,
370,Come Out in the Wash: To be resolved with no lasting negative effect,,,,
371,"Come Out of the Closet: Reveal a secret about oneself, usually that one is gay
(homosexual)",,,,
372,Come Out Swinging: Respond to something very aggressively,,,,
373,"Come Rain and Shine: Do regularly, whatever the circumstances",,,,
374,Come to Grips With: To acknowledge a problem as a prelude to dealing with it,,,,
375,Come to Terms With (Something): Feel acceptance toward something bad that has happened,,,,
376,Coming Down the Pike: Likely to occur in the near future,,,,
377,"Cook Someone’s Goose: To insure someone’s defeat, to frustrate someone’s plans",,,,
378,Cook Up a Storm: Cook a great deal of food,,,,
379,Cooking Up a Storm: Cooking a great deal of food,,,,
380,"Cool as A Cucumber: Calm and composed even in difficult or frustrating situations;
self-possessed",,,,
381,Caught Red-Handed: Apprehended while committing a crime,,,,
382,Cool Your Heels: Wait,,,,
383,Couch Potato: A lazy person who watches a great deal of television,,,,
384,Crash a Party: To attend a party without being invited,,,,
385,Crickets: Silence,,,,
386,"Cross to Bear: A problem one must deal with over a long time, a heavy burden",,,,
387,Crunch Time: A period of high pressure when one has to work hard to finish something,,,,
388,Crunch the Numbers: Do calculations before making a decision or prediction,,,,
389,Cry Over Spilt (USA: Spilled): Milk To waste energy moaning about something that has already happened,,,,
390,"Cry Wolf (verb): To issue a false alarm, to ask for help when none is needed",,,,
391,Cry Your Eyes Out: Cry hard for a very long time,,,,
392,Cry Your Eyes Out: Cry hard for a very long time,,,,
393,"Curiosity Killed The Cat: Stop asking questions, don’t be too curious",,,,
394,Cut (Someone) To the Quick: To deeply hurt someone emotionally,,,,
395,Cut Corners: Economize by reducing quality; take shortcuts,,,,
396,Cut It Fine: To do something at the last moment,,,,
397,Cut Off Your Nose to Spite Your Face: To act in a proud way that ultimately damages your own cause,,,,
398,Cut Someone Some Slack: Avoid treating someone strictly or severely,,,,
399,Cut to the Chase: Get to the point; explain the most important part of something quickly; skip the preliminaries,,,,
400,Cut the Gordian Knot: To solve a complex problem in a simple way,,,,
401,Cut the Mustard: Do something adequately,,,,
402,Cut Your Teeth on Something: To learn basic skills in a field,,,,
403,"Cutting-Edge: Very novel, innovative",,,,
404,Champagne taste on a beer budget: Expensive or extravagant tastes or preferences that are beyond one’s economic means.,,,,
405,"Cool Cat: Someone who has the respect of their peers in a young, casual way.",,,,
406,Change of Heart: A change in one’s opinion or outlook,,,,
407,Change One’s Tune: To alter one’s opinion about something.,,,,
408,Changing of the Guard: A change in leadership at an organization,,,,
409,Chase Rainbows: To pursue unrealistic goals,,,,
410,Cheap Shot: An unfair attack; a statement that unfairly attacks someone’s weakness,,,,
411,Cherry-Pick: To present evidence selectively to one’s own advantage,,,,
412,Cherry-Pick: To select the best or most desirable,,,,
413,Chew the Fat: Chat for a considerable length of time,,,,
414,Chickens Come Home To Roost: The negative consequences of previous actions reveal themselves,,,,
415,Child’s Play: A very easy task,,,,
416,Chill Out: Do something that helps them to calm down and relax for a while.,,,,
417,Chin Music: Meaningless talk,,,,
418,Chin Up/ Keep Your Chin Up: Cheer up; try to be cheerful and strong,,,,
419,"Chip off the Old Block: Someone who resembles a direct ancestor, usually the father",,,,
420,Chomp (Champ) at the Bit: Be eager to do something,,,,
421,Chomp at the Bit: To be eager to do something,,,,
422,"Chop Chop: Quickly, without delay",,,,
423,Chop Shop: A shop where stolen cars are disassembled for parts,,,,
424,Change Horses in Midstream: Change plans or leaders in the middle of a process,,,,
425,Chuck a Wobbly: To act in an emotional way,,,,
426,26/112,,,,
427,"Da Man (Slang): An accomplished or skillful person. Generally used in the compliment
“”You da man!””",,,,
428,Dance to Someone’s Tune: Consistently follow someone’s directions or influence,,,,
429,Dance with the Devil: Knowingly do something immoral,,,,
430,"Dark Horse: A surprise candidate or competitor, especially one who comes from behind to make a strong showing",,,,
431,Darken Someone’s Door (Step): Make an unwanted visit to someone’s home,,,,
432,"Dead Ahead: Directly ahead, either in a literal or a figurative sense",,,,
433,Dead as the Dodo: Completely extinct; totally gone,,,,
434,"Dead Eye: A good shooter, a good marksman",,,,
435,Dead Heat: An exact tie in a race or competition,,,,
436,"Dead of Winter: The coldest, darkest part of winter",,,,
437,Dead ringer: Very similar in appearance,,,,
438,Dead Run: Running as fast as possible,,,,
439,"Dead Shot: A good shooter, a good marksman",,,,
440,"Deep Pockets: The new owner has deep pockets, so fans are hoping the football team will improve next year with new players",,,,
441,Deliver the Goods: Provide what is expected,,,,
442,"Devil’s Advocate: Someone who argues a point not out of conviction, but in order to air various points of view",,,,
443,Dirty Look: A facial manner that signifies disapproval,,,,
444,Do 12-Ounce Curls: Drink beer,,,,
445,Dodge a Bullet: To narrowly escape disaster,,,,
446,"Doesn’t Amount to a Hill of Beans: Is unimportant, is negligible",,,,
447,Dog Days of the Summer: The hottest day of summer,,,,
448,"Dog in the Manger: A person who prevents others from using something, even though the person himself or herself does not want it",,,,
449,Dog-Eat-Dog: Intensely competitive,,,,
